TEAM,MATCH UP,GAME DATE,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP_TEAM,OPP_PTS,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,Home/Away,Rest,temp,diff,WIN
ATL,ATL vs. WAS,10/27/2016,48,114,44,88,50.0,12,26,46.2,14,18,77.8,14,38,52,28,21,13,7,19,15,WAS,99,40,94,42.6,6,20,30.0,13,18,72.2,12,28,40,25,19,14,4,20,1,0,2016-10-27,,1
ATL,ATL @ PHI,10/29/2016,48,104,42,85,49.4,5,20,25.0,15,23,65.2,6,41,47,31,12,11,7,14,32,PHI,72,28,80,35.0,5,18,27.8,11,15,73.3,4,35,39,16,20,9,5,20,0,2,2016-10-29,2.0,1
ATL,ATL vs. SAC,10/31/2016,48,106,33,79,41.8,11,30,36.7,29,47,61.7,17,26,43,24,13,11,6,20,11,SAC,95,36,75,48.0,10,23,43.5,13,19,68.4,6,32,38,26,19,10,6,34,1,2,2016-10-31,2.0,1
ATL,ATL vs. LAL,11/02/2016,48,116,41,85,48.2,11,32,34.4,23,29,79.3,10,27,37,30,18,10,1,19,-7,LAL,123,48,90,53.3,9,22,40.9,18,20,90.0,11,31,42,24,15,11,9,25,1,2,2016-11-02,2.0,0
ATL,ATL @ WAS,11/04/2016,48,92,32,83,38.6,5,25,20.0,23,36,63.9,10,37,47,22,18,12,3,24,-3,WAS,95,31,80,38.8,5,20,25.0,28,35,80.0,11,35,46,13,19,7,3,23,0,2,2016-11-04,2.0,0
ATL,ATL vs. HOU,11/05/2016,48,112,45,85,52.9,8,20,40.0,14,24,58.3,13,31,44,29,20,17,6,13,15,HOU,97,37,85,43.5,12,36,33.3,11,13,84.6,12,31,43,22,26,9,7,26,1,1,2016-11-05,1.0,1
ATL,ATL @ CLE,11/08/2016,48,110,41,81,50.6,11,29,37.9,17,24,70.8,11,39,50,22,19,1,4,21,4,CLE,106,37,99,37.4,11,42,26.2,21,25,84.0,13,26,39,21,6,12,1,20,0,3,2016-11-08,3.0,1
ATL,ATL vs. CHI,11/09/2016,48,115,42,83,50.6,9,20,45.0,22,27,81.5,13,35,48,24,23,8,7,20,8,CHI,107,41,91,45.1,9,27,33.3,16,21,76.2,8,23,31,24,14,14,3,21,1,1,2016-11-09,1.0,1
ATL,ATL vs. PHI,11/12/2016,48,117,48,95,50.5,13,32,40.6,8,14,57.1,15,37,52,31,16,10,6,14,21,PHI,96,36,83,43.4,11,29,37.9,13,20,65.0,10,29,39,21,19,14,4,20,1,3,2016-11-12,3.0,1
ATL,ATL @ MIA,11/15/2016,48,93,37,80,46.3,6,17,35.3,13,19,68.4,6,29,35,18,21,14,4,13,3,MIA,90,36,89,40.4,7,23,30.4,11,14,78.6,17,31,48,13,23,11,7,23,0,3,2016-11-15,3.0,1
ATL,ATL vs. MIL,11/16/2016,48,107,35,72,48.6,10,32,31.3,27,31,87.1,3,36,39,29,16,6,8,17,7,MIL,100,39,98,39.8,8,32,25.0,14,18,77.8,15,32,47,25,15,9,2,25,1,1,2016-11-16,1.0,1
ATL,ATL @ CHA,11/18/2016,48,96,39,84,46.4,7,28,25.0,11,17,64.7,8,41,49,25,17,9,6,18,-4,CHA,100,37,90,41.1,10,29,34.5,16,24,66.7,8,36,44,25,11,11,4,16,0,2,2016-11-18,2.0,0
ATL,ATL @ NYK,11/20/2016,48,94,34,85,40.0,6,21,28.6,20,29,69.0,14,34,48,17,13,7,6,15,-10,NYK,104,42,88,47.7,10,27,37.0,10,14,71.4,11,39,50,21,15,8,1,23,0,2,2016-11-20,2.0,0
ATL,ATL vs. NOP,11/22/2016,48,94,39,85,45.9,10,29,34.5,6,10,60.0,6,34,40,22,15,5,6,15,-18,NOP,112,45,86,52.3,11,25,44.0,11,12,91.7,5,35,40,29,11,11,9,16,1,2,2016-11-22,2.0,0
ATL,ATL @ IND,11/23/2016,48,96,36,85,42.4,5,20,25.0,19,22,86.4,17,39,56,17,22,11,7,18,11,IND,85,34,84,40.5,7,27,25.9,10,14,71.4,7,30,37,16,20,15,5,20,0,1,2016-11-23,1.0,1
ATL,ATL @ UTA,11/25/2016,48,68,26,83,31.3,8,25,32.0,8,12,66.7,6,34,40,11,14,8,4,16,-27,UTA,95,35,80,43.8,10,34,29.4,15,18,83.3,9,46,55,17,16,9,9,16,0,2,2016-11-25,2.0,0
ATL,ATL @ LAL,11/27/2016,48,94,39,88,44.3,12,35,34.3,4,10,40.0,7,31,38,25,12,5,6,19,-15,LAL,109,42,95,44.2,8,20,40.0,17,20,85.0,15,38,53,20,9,7,2,15,0,2,2016-11-27,2.0,0
ATL,ATL @ GSW,11/28/2016,48,100,36,85,42.4,7,29,24.1,21,30,70.0,13,37,50,20,19,11,4,22,-5,GSW,105,37,85,43.5,12,35,34.3,19,24,79.2,7,34,41,25,15,6,10,20,0,1,2016-11-28,1.0,0
ATL,ATL @ PHX,11/30/2016,48,107,45,89,50.6,9,25,36.0,8,10,80.0,7,33,40,20,22,9,6,22,-2,PHX,109,40,89,44.9,10,21,47.6,19,25,76.0,13,28,41,15,17,11,4,17,0,2,2016-11-30,2.0,0
