,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
0,POR,POR vs. UTA,10/25/16,48,0.607,0.293,0.14,14,0.167,0.537,0.195,0.144,14.4,0.171,UTA,1,0,113,104,9,1,0
1,UTA,UTA @ POR,10/25/16,48,0.537,0.195,0.144,14.4,0.171,0.607,0.293,0.14,14,0.167,POR,0,0,104,113,-9,0,0
2,NYK,NYK @ CLE,10/25/16,48,0.42,0.23,0.179,17.9,0.245,0.548,0.202,0.141,14.1,0.275,CLE,0,0,88,117,-29,0,0
3,GSW,GSW vs. SAS,10/25/16,48,0.512,0.212,0.159,15.9,0.19,0.541,0.265,0.137,13.7,0.438,SAS,1,0,100,129,-29,0,0
4,SAS,SAS @ GSW,10/25/16,48,0.541,0.265,0.137,13.7,0.438,0.512,0.212,0.159,15.9,0.19,GSW,0,0,129,100,29,1,0
5,CLE,CLE vs. NYK,10/25/16,48,0.548,0.202,0.141,14.1,0.275,0.42,0.23,0.179,17.9,0.245,NYK,1,0,117,88,29,1,0
6,NOP,NOP vs. DEN,10/26/16,48,0.429,0.283,0.101,10.1,0.096,0.494,0.398,0.224,22.4,0.282,DEN,1,0,102,107,-5,0,0
7,PHX,PHX vs. SAC,10/26/16,48,0.494,0.351,0.186,18.6,0.244,0.547,0.302,0.138,13.8,0.244,SAC,1,0,94,113,-19,0,0
8,SAC,SAC @ PHX,10/26/16,48,0.547,0.302,0.138,13.8,0.244,0.494,0.351,0.186,18.6,0.244,PHX,0,0,113,94,19,1,0
9,HOU,HOU @ LAL,10/26/16,48,0.552,0.314,0.146,14.6,0.263,0.573,0.247,0.154,15.4,0.275,LAL,0,0,114,120,-6,0,0
10,TOR,TOR vs. DET,10/26/16,48,0.494,0.337,0.124,12.4,0.304,0.44,0.262,0.14,14,0.178,DET,1,0,109,91,18,1,0
11,MIN,MIN @ MEM,10/26/16,48,0.453,0.337,0.116,11.6,0.306,0.519,0.338,0.138,13.8,0.268,MEM,0,0,98,102,-4,0,0
12,IND,IND vs. DAL,10/26/16,53,0.559,0.366,0.138,13.8,0.17,0.519,0.173,0.128,12.8,0.185,DAL,1,0,130,121,9,1,0
13,OKC,OKC @ PHI,10/26/16,48,0.447,0.277,0.098,9.8,0.255,0.47,0.298,0.135,13.5,0.111,PHI,0,0,103,97,6,1,0
14,LAL,LAL vs. HOU,10/26/16,48,0.573,0.247,0.154,15.4,0.275,0.552,0.314,0.146,14.6,0.263,HOU,1,0,120,114,6,1,0
15,CHA,CHA @ MIL,10/26/16,48,0.489,0.27,0.101,10.1,0.234,0.44,0.217,0.081,8.1,0.2,MIL,0,0,107,96,11,1,0
16,PHI,PHI vs. OKC,10/26/16,48,0.47,0.298,0.135,13.5,0.111,0.447,0.277,0.098,9.8,0.255,OKC,1,0,97,103,-6,0,0
17,DAL,DAL @ IND,10/26/16,53,0.519,0.173,0.128,12.8,0.185,0.559,0.366,0.138,13.8,0.17,IND,0,0,121,130,-9,0,0
18,MIL,MIL vs. CHA,10/26/16,48,0.44,0.217,0.081,8.1,0.2,0.489,0.27,0.101,10.1,0.234,CHA,1,0,96,107,-11,0,0
19,ORL,ORL vs. MIA,10/26/16,48,0.416,0.315,0.113,11.3,0.294,0.505,0.165,0.12,12,0.348,MIA,1,0,96,108,-12,0,0
20,BKN,BKN @ BOS,10/26/16,48,0.521,0.206,0.15,15,0.3,0.601,0.202,0.183,18.3,0.293,BOS,0,0,117,122,-5,0,0
21,MIA,MIA @ ORL,10/26/16,48,0.505,0.165,0.12,12,0.348,0.416,0.315,0.113,11.3,0.294,ORL,0,0,108,96,12,1,0
22,MEM,MEM vs. MIN,10/26/16,48,0.519,0.338,0.138,13.8,0.268,0.453,0.337,0.116,11.6,0.306,MIN,1,0,102,98,4,1,0
23,DET,DET @ TOR,10/26/16,48,0.44,0.262,0.14,14,0.178,0.494,0.337,0.124,12.4,0.304,TOR,0,0,91,109,-18,0,0
24,BOS,BOS vs. BKN,10/26/16,48,0.601,0.202,0.183,18.3,0.293,0.521,0.206,0.15,15,0.3,BKN,1,0,122,117,5,1,0
25,DEN,DEN @ NOP,10/26/16,48,0.494,0.398,0.224,22.4,0.282,0.429,0.283,0.101,10.1,0.096,NOP,0,0,107,102,5,1,0
26,CHI,CHI vs. BOS,10/27/16,48,0.451,0.326,0.121,12.1,0.353,0.553,0.316,0.126,12.6,0.075,BOS,1,0,105,99,6,1,1
27,BOS,BOS @ CHI,10/27/16,48,0.553,0.316,0.126,12.6,0.075,0.451,0.326,0.121,12.1,0.353,CHI,0,1,99,105,-6,0,0
28,WAS,WAS @ ATL,10/27/16,48,0.457,0.191,0.174,17.4,0.24,0.568,0.205,0.204,20.4,0.333,ATL,0,0,99,114,-15,0,0
29,SAC,SAC vs. SAS,10/27/16,48,0.443,0.543,0.165,16.5,0.162,0.494,0.342,0.109,10.9,0.209,SAS,1,1,94,102,-8,0,2
30,LAC,LAC @ POR,10/27/16,48,0.451,0.505,0.077,7.7,0.278,0.482,0.376,0.135,13.5,0.214,POR,0,0,114,106,8,1,2
31,POR,POR vs. LAC,10/27/16,48,0.482,0.376,0.135,13.5,0.214,0.451,0.505,0.077,7.7,0.278,LAC,1,2,106,114,-8,0,0
32,SAS,SAS @ SAC,10/27/16,48,0.494,0.342,0.109,10.9,0.209,0.443,0.543,0.165,16.5,0.162,SAC,0,2,102,94,8,1,1
33,ATL,ATL vs. WAS,10/27/16,48,0.568,0.205,0.204,20.4,0.333,0.457,0.191,0.174,17.4,0.24,WAS,1,0,114,99,15,1,0
34,CLE,CLE @ TOR,10/28/16,48,0.494,0.278,0.184,18.4,0.214,0.411,0.2,0.184,18.4,0.367,TOR,0,3,94,91,3,1,2
35,ORL,ORL @ DET,10/28/16,48,0.389,0.126,0.094,9.4,0.241,0.542,0.063,0.119,11.9,0.231,DET,0,2,82,108,-26,0,2
36,TOR,TOR vs. CLE,10/28/16,48,0.411,0.2,0.184,18.4,0.367,0.494,0.278,0.184,18.4,0.214,CLE,1,2,91,94,-3,0,3
37,UTA,UTA vs. LAL,10/28/16,48,0.453,0.533,0.15,15,0.289,0.435,0.25,0.171,17.1,0.244,LAL,1,3,96,89,7,1,2
38,CHA,CHA @ MIA,10/28/16,48,0.418,0.261,0.082,8.2,0.241,0.453,0.233,0.193,19.3,0.234,MIA,0,2,97,91,6,1,2
39,DET,DET vs. ORL,10/28/16,48,0.542,0.063,0.119,11.9,0.231,0.389,0.126,0.094,9.4,0.241,ORL,1,2,108,82,26,1,2
40,MIA,MIA vs. CHA,10/28/16,48,0.453,0.233,0.193,19.3,0.234,0.418,0.261,0.082,8.2,0.241,CHA,1,2,91,97,-6,0,2
