DEN,DEN @ DET,12/12/2017,,W,48,57.0%,0.177,17.7,17.1%,41.1%,0.278,21.3,22.4%,
NYK,NYK vs. LAL,12/12/2017,,W,53,52.0%,0.109,13.4,31.9%,47.5%,0.147,15.3,37.0%,
LAL,LAL @ NYK,12/12/2017,,L,53,47.5%,0.147,15.3,37.0%,52.0%,0.109,13.4,31.9%,
ATL,ATL @ CLE,12/12/2017,,L,48,55.4%,0.141,10.2,24.4%,67.4%,0.116,13.3,18.2%,
WAS,WAS @ BKN,12/12/2017,,L,48,42.1%,0.232,10.6,21.4%,46.4%,0.393,13.5,19.6%,
BKN,BKN vs. WAS,12/12/2017,,W,48,46.4%,0.393,13.5,19.6%,42.1%,0.232,10.6,21.4%,
CLE,CLE vs. ATL,12/12/2017,,W,48,67.4%,0.116,13.3,18.2%,55.4%,0.141,10.2,24.4%,
DET,DET vs. DEN,12/12/2017,,L,48,41.1%,0.278,21.3,22.4%,57.0%,0.177,17.7,17.1%,
CHI,CHI vs. BOS,12/11/2017,,W,48,55.6%,0.309,9.9,22.2%,45.8%,0.169,17.0,23.4%,
BOS,BOS @ CHI,12/11/2017,,L,48,45.8%,0.169,17.0,23.4%,55.6%,0.309,9.9,22.2%,
OKC,OKC vs. CHA,12/11/2017,,L,48,46.5%,0.294,15.0,25.6%,61.1%,0.296,15.4,24.3%,
HOU,HOU vs. NOP,12/11/2017,,W,48,64.2%,0.284,8.7,10.3%,68.2%,0.153,17.5,15.8%,
MIA,MIA @ MEM,12/11/2017,,W,48,66.7%,0.364,15.8,7.4%,44.4%,0.375,16.1,15.4%,
MEM,MEM vs. MIA,12/11/2017,,L,48,44.4%,0.375,16.1,15.4%,66.7%,0.364,15.8,7.4%,
POR,POR @ GSW,12/11/2017,,L,48,46.0%,0.284,10.3,25.0%,61.3%,0.213,14.7,18.2%,
TOR,TOR @ LAC,12/11/2017,,L,48,44.4%,0.325,12.8,6.5%,41.8%,0.264,12.9,26.4%,
GSW,GSW vs. POR,12/11/2017,,W,48,61.3%,0.213,14.7,18.2%,46.0%,0.284,10.3,25.0%,
LAC,LAC vs. TOR,12/11/2017,,W,48,41.8%,0.264,12.9,26.4%,44.4%,0.325,12.8,6.5%,
NOP,NOP @ HOU,12/11/2017,,L,48,68.2%,0.153,17.5,15.8%,64.2%,0.284,8.7,10.3%,
CHA,CHA @ OKC,12/11/2017,,W,48,61.1%,0.296,15.4,24.3%,46.5%,0.294,15.0,25.6%,
DET,DET vs. BOS,12/10/2017,,L,48,39.3%,0.226,10.9,21.2%,48.7%,0.228,15.2,20.5%,
DEN,DEN @ IND,12/10/2017,,L,53,54.2%,0.179,20.9,39.6%,58.1%,0.237,10.7,28.2%,
ATL,ATL @ NYK,12/10/2017,,L,48,53.9%,0.390,16.8,18.2%,51.9%,0.425,11.9,17.1%,
TOR,TOR @ SAC,12/10/2017,,W,48,51.1%,0.218,13.5,25.5%,54.8%,0.192,22.5,17.9%,
BOS,BOS @ DET,12/10/2017,,W,48,48.7%,0.228,15.2,20.5%,39.3%,0.226,10.9,21.2%,
PHI,PHI @ NOP,12/10/2017,,L,48,50.5%,0.313,16.3,44.0%,66.9%,0.400,14.4,16.7%,
IND,IND vs. DEN,12/10/2017,,W,53,58.1%,0.237,10.7,28.2%,54.2%,0.179,20.9,39.6%,
NYK,NYK vs. ATL,12/10/2017,,W,48,51.9%,0.425,11.9,17.1%,53.9%,0.390,16.8,18.2%,
DAL,DAL @ MIN,12/10/2017,,L,48,52.5%,0.111,12.2,14.3%,54.9%,0.319,19.8,25.0%,
NOP,NOP vs. PHI,12/10/2017,,W,48,66.9%,0.400,14.4,16.7%,50.5%,0.313,16.3,44.0%,
SAC,SAC vs. TOR,12/10/2017,,L,48,54.8%,0.192,22.5,17.9%,51.1%,0.218,13.5,25.5%,
MIN,MIN vs. DAL,12/10/2017,,W,48,54.9%,0.319,19.8,25.0%,52.5%,0.111,12.2,14.3%,
PHX,PHX vs. SAS,12/09/2017,,L,48,48.1%,0.375,11.7,22.7%,49.4%,0.287,15.8,37.5%,
NYK,NYK @ CHI,12/09/2017,,L,48,51.1%,0.099,14.7,20.0%,55.5%,0.280,15.1,20.0%,
HOU,HOU @ POR,12/09/2017,,W,48,60.0%,0.560,12.2,21.2%,61.4%,0.136,15.6,20.0%,
MIA,MIA @ BKN,12/09/2017,,W,48,51.1%,0.156,6.4,18.6%,45.1%,0.235,14.7,18.2%,
CHI,CHI vs. NYK,12/09/2017,,W,48,55.5%,0.280,15.1,20.0%,51.1%,0.099,14.7,20.0%,
MEM,MEM vs. OKC,12/09/2017,,L,53,51.7%,0.193,15.4,30.2%,45.7%,0.337,10.0,31.4%,
