SAC	SAC vs. PHX	12/12/2017		W	48	99	38	89	42.7	7	22	31.8	16	22	72.7	11	34	45	21	9	9	3	18	7	
BKN	BKN vs. WAS	12/12/2017		W	48	103	34	84	40.5	10	43	23.3	25	33	75.8	9	44	53	26	14	4	6	21	5	
DET	DET vs. DEN	12/12/2017		L	48	84	28	79	35.4	9	25	36.0	19	22	86.4	11	29	40	17	21	7	2	16	-19	
PHI	PHI @ MIN	12/12/2017		W	53	117	40	80	50.0	11	26	42.3	26	31	83.9	7	45	52	32	26	6	3	18	5	
PHX	PHX @ SAC	12/12/2017		L	48	92	37	90	41.1	7	32	21.9	11	14	78.6	13	32	45	22	12	5	4	18	-7	
ATL	ATL @ CLE	12/12/2017		L	48	114	43	92	46.7	16	36	44.4	12	13	92.3	10	27	37	26	10	8	4	17	-9	
DAL	DAL vs. SAS	12/12/2017		W	48	95	38	89	42.7	9	24	37.5	10	12	83.3	8	41	49	17	8	8	2	19	6	
SAS	SAS @ DAL	12/12/2017		L	48	89	35	87	40.2	7	28	25.0	12	19	63.2	10	39	49	20	10	4	5	11	-6	
DEN	DEN @ DET	12/12/2017		W	48	103	40	79	50.6	10	30	33.3	13	14	92.9	6	38	44	27	17	8	3	15	19	
WAS	WAS @ BKN	12/12/2017		L	48	98	38	95	40.0	4	22	18.2	18	22	81.8	12	37	49	18	11	8	3	26	-5	
CLE	CLE vs. ATL	12/12/2017		W	48	123	48	86	55.8	20	38	52.6	7	10	70.0	6	31	37	35	13	5	2	18	9	
MIN	MIN vs. PHI	12/12/2017		L	53	112	44	108	40.7	5	29	17.2	19	27	70.4	17	33	50	19	10	14	7	21	-5	
LAL	LAL @ NYK	12/12/2017		L	53	109	42	102	41.2	13	35	37.1	12	15	80.0	20	32	52	24	16	6	6	19	-4	
NYK	NYK vs. LAL	12/12/2017		W	53	113	48	101	47.5	9	22	40.9	8	11	72.7	15	34	49	25	14	7	7	16	4	
CHI	CHI vs. BOS	12/11/2017		W	48	108	39	81	48.1	12	29	41.4	18	25	72.0	10	36	46	23	9	9	3	18	23	
MEM	MEM vs. MIA	12/11/2017		L	48	82	28	72	38.9	8	27	29.6	18	27	66.7	6	25	31	17	15	6	1	22	-25	
MIA	MIA @ MEM	12/11/2017		W	48	107	37	66	56.1	14	27	51.9	19	24	79.2	2	33	35	24	14	8	8	22	25	
NOP	NOP @ HOU	12/11/2017		L	48	123	49	85	57.6	18	33	54.5	7	13	53.8	6	35	41	32	18	6	2	19	-7	
POR	POR @ GSW	12/11/2017		L	48	104	37	88	42.0	7	28	25.0	23	25	92.0	12	27	39	14	10	11	2	18	-7	
GSW	GSW vs. POR	12/11/2017		W	48	111	44	80	55.0	10	20	50.0	13	17	76.5	6	36	42	26	14	5	9	16	7	
HOU	HOU vs. NOP	12/11/2017		W	48	130	48	88	54.5	17	45	37.8	17	25	68.0	4	32	36	30	9	12	7	15	7	
CHA	CHA @ OKC	12/11/2017		W	48	116	43	81	53.1	13	25	52.0	17	24	70.8	9	32	41	22	15	8	4	20	13	
OKC	OKC vs. CHA	12/11/2017		L	48	103	35	85	41.2	9	26	34.6	24	25	96.0	11	28	39	16	15	5	2	19	-13	
LAC	LAC vs. TOR	12/11/2017		W	48	96	34	91	37.4	8	36	22.2	20	24	83.3	14	43	57	18	13	6	7	20	5	
TOR	TOR @ LAC	12/11/2017		L	48	91	32	80	40.0	7	29	24.1	20	26	76.9	3	39	42	18	13	9	6	22	-5	
BOS	BOS @ CHI	12/11/2017		L	48	85	33	83	39.8	10	40	25.0	9	14	64.3	11	35	46	22	16	2	1	19	-23	
MIN	MIN vs. DAL	12/10/2017		W	48	97	36	72	50.0	7	19	36.8	18	23	78.3	9	36	45	19	18	7	2	19	5	
IND	IND vs. DEN	12/10/2017		W	53	126	49	93	52.7	10	25	40.0	18	22	81.8	11	29	40	24	11	6	2	17	10	
SAC	SAC vs. TOR	12/10/2017		L	48	87	35	73	47.9	10	23	43.5	7	14	50.0	7	35	42	15	21	7	6	17	-15	
NYK	NYK vs. ATL	12/10/2017		W	48	111	39	80	48.8	5	17	29.4	28	34	82.4	6	27	33	16	12	9	4	30	4	
DET	DET vs. BOS	12/10/2017		L	48	81	28	84	33.3	10	33	30.3	15	19	78.9	11	35	46	14	10	7	4	16	-10	
DEN	DEN @ IND	12/10/2017		L	53	116	43	95	45.3	17	42	40.5	13	17	76.5	19	28	47	24	22	7	5	20	-10	
BOS	BOS @ DET	12/10/2017		W	48	91	33	79	41.8	11	30	36.7	14	18	77.8	9	41	50	16	14	4	4	18	10	
PHI	PHI @ NOP	12/10/2017		L	48	124	44	96	45.8	9	29	31.0	27	30	90.0	22	25	47	26	17	5	4	29	-7	
ATL	ATL @ NYK	12/10/2017		L	48	107	37	77	48.1	9	31	29.0	24	30	80.0	6	29	35	22	17	5	4	28	-4	
