,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
0,ATL,10/18/2017,48,55.9%,0.16,13.1,30.4%,54.1%,0.244,15.6,20.0%,DAL,0,0,1,0,6
1,ATL,10/20/2017,48,41.6%,0.147,12.0,11.8%,49.4%,0.349,19.4,27.3%,CHA,2,2,0,0,-18
2,ATL,10/22/2017,48,37.8%,0.38299999999999995,14.6,29.6%,53.4%,0.391,16.8,28.9%,BKN,2,2,0,0,-12
3,ATL,10/23/2017,48,52.0%,0.237,21.2,16.2%,54.1%,0.212,18.6,22.2%,MIA,1,2,0,0,-11
4,ATL,10/26/2017,48,46.3%,0.16,11.1,13.7%,40.1%,0.337,16.5,35.3%,CHI,3,2,0,0,-5
5,ATL,10/27/2017,48,49.4%,0.135,12.6,23.9%,48.4%,0.253,11.8,25.6%,DEN,1,2,0,1,-5
6,ATL,10/29/2017,48,55.2%,0.33799999999999997,15.8,7.3%,62.3%,0.259,14.1,15.2%,MIL,2,3,0,1,-11
7,ATL,11/01/2017,48,47.9%,0.287,16.8,24.0%,53.0%,0.253,15.2,28.8%,PHI,3,2,0,0,-10
8,ATL,11/03/2017,48,54.9%,0.222,17.7,12.5%,56.2%,0.258,13.4,20.0%,HOU,2,2,0,1,-15
9,ATL,11/05/2017,48,54.1%,0.395,15.9,25.6%,49.0%,0.24,12.5,31.3%,CLE,2,2,1,0,2
10,ATL,11/06/2017,48,56.2%,0.247,14.2,12.5%,56.8%,0.272,14.3,18.4%,BOS,1,1,0,1,-3
11,ATL,11/10/2017,48,53.9%,0.124,16.2,26.2%,50.6%,0.303,17.4,37.0%,DET,4,2,0,0,-7
12,ATL,11/11/2017,48,49.4%,0.205,23.0,24.4%,58.3%,0.359,22.5,33.3%,WAS,1,2,0,0,-19
13,ATL,11/13/2017,48,55.7%,0.10300000000000001,16.5,24.4%,63.3%,0.22699999999999998,20.1,21.2%,NOP,2,2,0,0,-1
14,ATL,11/15/2017,48,73.4%,0.203,20.6,33.3%,38.6%,0.22699999999999998,12.3,20.0%,SAC,2,2,1,1,46
15,ATL,11/18/2017,48,53.2%,0.256,14.8,15.8%,57.3%,0.244,16.4,23.7%,BOS,3,2,0,1,-11
16,ATL,11/20/2017,48,48.2%,0.094,15.9,19.1%,50.6%,0.067,18.8,32.6%,SAS,2,3,0,0,-11
17,ATL,11/22/2017,48,54.2%,0.18100000000000002,15.7,25.0%,67.8%,0.25,17.8,18.2%,LAC,2,2,0,1,-13
18,ATL,11/24/2017,48,54.0%,0.121,9.9,28.3%,59.0%,0.179,20.2,15.6%,NYK,2,2,1,1,12
19,ATL,11/25/2017,48,38.7%,0.307,19.6,16.7%,62.5%,0.107,17.2,30.6%,TOR,1,1,0,1,-34
20,ATL,11/30/2017,48,59.5%,0.304,18.1,22.2%,63.3%,0.342,20.2,36.4%,CLE,5,2,0,1,-7
21,ATL,12/02/2017,48,52.5%,0.141,9.8,27.7%,51.8%,0.256,19.3,26.1%,BKN,2,3,1,0,12
22,ATL,12/04/2017,48,42.1%,0.32899999999999996,17.5,18.4%,57.1%,0.17600000000000002,23.2,29.3%,BKN,2,2,0,1,-20
23,ATL,12/06/2017,53,48.9%,0.215,17.3,22.0%,50.0%,0.184,15.5,25.5%,ORL,2,2,0,0,-4
24,ATL,12/09/2017,48,61.9%,0.313,12.8,23.7%,56.0%,0.087,12.3,24.4%,ORL,3,1,1,1,7
25,ATL,12/10/2017,48,53.9%,0.39,16.8,18.2%,51.9%,0.425,11.9,17.1%,NYK,1,1,0,0,-4
26,ATL,12/12/2017,48,55.4%,0.141,10.2,24.4%,67.4%,0.11599999999999999,13.3,18.2%,CLE,2,3,0,0,-9
27,BKN,10/18/2017,48,54.3%,0.34,17.1,25.0%,56.4%,0.314,12.1,30.4%,IND,0,0,0,0,-9
28,BKN,10/20/2017,48,54.9%,0.38,16.3,32.6%,60.7%,0.16899999999999998,20.3,21.4%,ORL,2,2,1,1,5
29,BKN,10/22/2017,48,53.4%,0.391,16.8,28.9%,37.8%,0.38299999999999995,14.6,29.6%,ATL,2,2,1,1,12
30,BKN,10/24/2017,48,47.4%,0.354,14.2,26.9%,54.2%,0.48200000000000004,10.4,14.6%,ORL,2,3,0,0,-4
31,BKN,10/25/2017,48,52.2%,0.226,12.4,20.8%,55.6%,0.321,20.1,24.3%,CLE,1,1,1,1,5
32,BKN,10/27/2017,48,47.3%,0.28,16.8,12.2%,49.5%,0.17300000000000001,12.2,38.8%,NYK,2,3,0,0,-21
33,BKN,10/29/2017,48,46.9%,0.32299999999999995,13.9,28.8%,55.9%,0.23399999999999999,5.7,9.3%,DEN,2,2,0,1,-13
34,BKN,10/31/2017,48,45.6%,0.294,6.1,11.1%,52.1%,0.25,17.2,21.3%,PHX,2,3,0,1,-8
35,BKN,11/03/2017,48,45.6%,0.418,13.8,13.8%,55.9%,0.287,13.9,16.7%,LAL,3,1,0,0,-12
36,BKN,11/06/2017,48,44.8%,0.33299999999999996,15.3,22.4%,38.4%,0.40700000000000003,16.3,27.5%,PHX,3,1,1,0,6
37,BKN,11/07/2017,48,48.9%,0.247,21.6,17.4%,52.2%,0.215,17.0,18.8%,DEN,1,3,0,0,-8
38,BKN,11/10/2017,48,49.5%,0.209,10.2,22.0%,46.3%,0.11599999999999999,11.1,24.0%,POR,3,3,1,0,4
39,BKN,11/11/2017,48,50.7%,0.513,17.0,23.8%,54.7%,0.294,16.0,27.9%,UTA,1,1,0,0,-8
40,BKN,11/14/2017,48,52.3%,0.182,14.8,18.4%,50.6%,0.314,13.6,20.9%,BOS,3,2,0,1,-7
