,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
0,ATL,10/18/17,48,0.559,0.16,13.1,0.131,0.304,0.541,0.244,15.6,0.156,0.2,DAL,0,0,1,0,6
1,ATL,10/20/17,48,0.416,0.147,12,0.12,0.118,0.494,0.349,19.4,0.194,0.273,CHA,2,2,0,0,-18
2,ATL,10/22/17,48,0.378,0.383,14.6,0.146,0.296,0.534,0.391,16.8,0.168,0.289,BKN,2,2,0,0,-12
3,ATL,10/23/17,48,0.52,0.237,21.2,0.212,0.162,0.541,0.212,18.6,0.186,0.222,MIA,1,2,0,0,-11
4,ATL,10/26/17,48,0.463,0.16,11.1,0.111,0.137,0.401,0.337,16.5,0.165,0.353,CHI,3,2,0,0,-5
5,ATL,10/27/17,48,0.494,0.135,12.6,0.126,0.239,0.484,0.253,11.8,0.118,0.256,DEN,1,2,0,1,-5
6,ATL,10/29/17,48,0.552,0.338,15.8,0.158,0.073,0.623,0.259,14.1,0.141,0.152,MIL,2,3,0,1,-11
7,ATL,11/1/17,48,0.479,0.287,16.8,0.168,0.24,0.53,0.253,15.2,0.152,0.288,PHI,3,2,0,0,-10
8,ATL,11/3/17,48,0.549,0.222,17.7,0.177,0.125,0.562,0.258,13.4,0.134,0.2,HOU,2,2,0,1,-15
9,ATL,11/5/17,48,0.541,0.395,15.9,0.159,0.256,0.49,0.24,12.5,0.125,0.313,CLE,2,2,1,0,2
10,ATL,11/6/17,48,0.562,0.247,14.2,0.142,0.125,0.568,0.272,14.3,0.143,0.184,BOS,1,1,0,1,-3
11,ATL,11/10/17,48,0.539,0.124,16.2,0.162,0.262,0.506,0.303,17.4,0.174,0.37,DET,4,2,0,0,-7
12,ATL,11/11/17,48,0.494,0.205,23,0.23,0.244,0.583,0.359,22.5,0.225,0.333,WAS,1,2,0,0,-19
13,ATL,11/13/17,48,0.557,0.103,16.5,0.165,0.244,0.633,0.227,20.1,0.201,0.212,NOP,2,2,0,0,-1
14,ATL,11/15/17,48,0.734,0.203,20.6,0.206,0.333,0.386,0.227,12.3,0.123,0.2,SAC,2,2,1,1,46
15,ATL,11/18/17,48,0.532,0.256,14.8,0.148,0.158,0.573,0.244,16.4,0.164,0.237,BOS,3,2,0,1,-11
16,ATL,11/20/17,48,0.482,0.094,15.9,0.159,0.191,0.506,0.067,18.8,0.188,0.326,SAS,2,3,0,0,-11
17,ATL,11/22/17,48,0.542,0.181,15.7,0.157,0.25,0.678,0.25,17.8,0.178,0.182,LAC,2,2,0,1,-13
18,ATL,11/24/17,48,0.54,0.121,9.9,0.099,0.283,0.59,0.179,20.2,0.202,0.156,NYK,2,2,1,1,12
19,ATL,11/25/17,48,0.387,0.307,19.6,0.196,0.167,0.625,0.107,17.2,0.172,0.306,TOR,1,1,0,1,-34
20,ATL,11/30/17,48,0.595,0.304,18.1,0.181,0.222,0.633,0.342,20.2,0.202,0.364,CLE,5,2,0,1,-7
21,ATL,12/2/17,48,0.525,0.141,9.8,0.098,0.277,0.518,0.256,19.3,0.193,0.261,BKN,2,3,1,0,12
22,ATL,12/4/17,48,0.421,0.329,17.5,0.175,0.184,0.571,0.176,23.2,0.232,0.293,BKN,2,2,0,1,-20
23,ATL,12/6/17,53,0.489,0.215,17.3,0.173,0.22,0.5,0.184,15.5,0.155,0.255,ORL,2,2,0,0,-4
24,ATL,12/9/17,48,0.619,0.313,12.8,0.128,0.237,0.56,0.087,12.3,0.123,0.244,ORL,3,1,1,1,7
25,ATL,12/10/17,48,0.539,0.39,16.8,0.168,0.182,0.519,0.425,11.9,0.119,0.171,NYK,1,1,0,0,-4
26,ATL,12/12/17,48,0.554,0.141,10.2,0.102,0.244,0.674,0.116,13.3,0.133,0.182,CLE,2,3,0,0,-9
27,BKN,10/18/17,48,0.543,0.34,17.1,0.171,0.25,0.564,0.314,12.1,0.121,0.304,IND,0,0,0,0,-9
28,BKN,10/20/17,48,0.549,0.38,16.3,0.163,0.326,0.607,0.169,20.3,0.203,0.214,ORL,2,2,1,1,5
29,BKN,10/22/17,48,0.534,0.391,16.8,0.168,0.289,0.378,0.383,14.6,0.146,0.296,ATL,2,2,1,1,12
30,BKN,10/24/17,48,0.474,0.354,14.2,0.142,0.269,0.542,0.482,10.4,0.104,0.146,ORL,2,3,0,0,-4
31,BKN,10/25/17,48,0.522,0.226,12.4,0.124,0.208,0.556,0.321,20.1,0.201,0.243,CLE,1,1,1,1,5
32,BKN,10/27/17,48,0.473,0.28,16.8,0.168,0.122,0.495,0.173,12.2,0.122,0.388,NYK,2,3,0,0,-21
33,BKN,10/29/17,48,0.469,0.323,13.9,0.139,0.288,0.559,0.234,5.7,0.057,0.093,DEN,2,2,0,1,-13
34,BKN,10/31/17,48,0.456,0.294,6.1,0.061,0.111,0.521,0.25,17.2,0.172,0.213,PHX,2,3,0,1,-8
35,BKN,11/3/17,48,0.456,0.418,13.8,0.138,0.138,0.559,0.287,13.9,0.139,0.167,LAL,3,1,0,0,-12
36,BKN,11/6/17,48,0.448,0.333,15.3,0.153,0.224,0.384,0.407,16.3,0.163,0.275,PHX,3,1,1,0,6
37,BKN,11/7/17,48,0.489,0.247,21.6,0.216,0.174,0.522,0.215,17,0.17,0.188,DEN,1,3,0,0,-8
38,BKN,11/10/17,48,0.495,0.209,10.2,0.102,0.22,0.463,0.116,11.1,0.111,0.24,POR,3,3,1,0,4
39,BKN,11/11/17,48,0.507,0.513,17,0.17,0.238,0.547,0.294,16,0.16,0.279,UTA,1,1,0,0,-8
40,BKN,11/14/17,48,0.523,0.182,14.8,0.148,0.184,0.506,0.314,13.6,0.136,0.209,BOS,3,2,0,1,-7
