,TEAM,GAME DATE,OPP,Home/Away,REST,OPP_REST
0,POR,10/25/16,UTA,1,0,0
1,UTA,10/25/16,POR,0,0,0
2,NYK,10/25/16,CLE,0,0,0
3,GSW,10/25/16,SAS,1,0,0
4,SAS,10/25/16,GSW,0,0,0
5,CLE,10/25/16,NYK,1,0,0
6,NOP,10/26/16,DEN,1,0,0
7,PHX,10/26/16,SAC,1,0,0
8,SAC,10/26/16,PHX,0,0,0
9,HOU,10/26/16,LAL,0,0,0
10,TOR,10/26/16,DET,1,0,0
11,MIN,10/26/16,MEM,0,0,0
12,IND,10/26/16,DAL,1,0,0
13,OKC,10/26/16,PHI,0,0,0
14,LAL,10/26/16,HOU,1,0,0
15,CHA,10/26/16,MIL,0,0,0
16,PHI,10/26/16,OKC,1,0,0
17,DAL,10/26/16,IND,0,0,0
18,MIL,10/26/16,CHA,1,0,0
19,ORL,10/26/16,MIA,1,0,0
20,BKN,10/26/16,BOS,0,0,0
21,MIA,10/26/16,ORL,0,0,0
22,MEM,10/26/16,MIN,1,0,0
23,DET,10/26/16,TOR,0,0,0
24,BOS,10/26/16,BKN,1,0,0
25,DEN,10/26/16,NOP,0,0,0
26,CHI,10/27/16,BOS,1,0,1
27,BOS,10/27/16,CHI,0,1,0
28,WAS,10/27/16,ATL,0,0,0
29,SAC,10/27/16,SAS,1,1,2
30,LAC,10/27/16,POR,0,0,2
31,POR,10/27/16,LAC,1,2,0
32,SAS,10/27/16,SAC,0,2,1
33,ATL,10/27/16,WAS,1,0,0
34,CLE,10/28/16,TOR,0,3,2
35,ORL,10/28/16,DET,0,2,2
36,TOR,10/28/16,CLE,1,2,3
37,UTA,10/28/16,LAL,1,3,2
38,CHA,10/28/16,MIA,0,2,2
39,DET,10/28/16,ORL,1,2,2
40,MIA,10/28/16,CHA,1,2,2
41,GSW,10/28/16,NOP,0,3,2
42,IND,10/28/16,BKN,0,2,2
43,DAL,10/28/16,HOU,1,2,2
44,BKN,10/28/16,IND,1,2,2
45,LAL,10/28/16,UTA,0,2,3
46,OKC,10/28/16,PHX,1,2,2
47,NOP,10/28/16,GSW,1,2,3
48,PHX,10/28/16,OKC,0,2,2
49,HOU,10/28/16,DAL,0,2,2
50,BKN,10/29/16,MIL,0,1,3
51,NOP,10/29/16,SAS,0,1,2
52,BOS,10/29/16,CHA,0,2,1
53,IND,10/29/16,CHI,0,1,2
54,MIL,10/29/16,BKN,1,3,1
55,SAS,10/29/16,NOP,1,2,1
56,DEN,10/29/16,POR,1,3,2
