STANDING,TEAM,GP,W,L,WIN%,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP EFG%,OPP FTA RATE,OPP TOV%,OPP OREB%
1,Golden State Warriors,82,67,15,0.8170000000000001,"3,956",56.3,0.259,14.4,22.8,48.6,0.261,15.0,25.1
2,San Antonio Spurs,82,61,21,0.7440000000000001,"3,961",52.4,0.263,13.9,24.0,49.2,0.249,14.8,22.4
3,Houston Rockets,82,55,27,0.6709999999999999,"3,956",54.5,0.304,14.7,24.6,51.9,0.25,14.6,24.2
4,Boston Celtics,82,53,29,0.6459999999999999,"3,951",52.5,0.273,13.3,21.2,50.3,0.29,13.9,24.7
5,Utah Jazz,82,51,31,0.622,"3,951",52.6,0.28800000000000003,14.5,23.2,49.3,0.253,12.9,21.1
5,Toronto Raptors,82,51,31,0.622,"3,956",51.7,0.293,13.0,25.0,50.7,0.28600000000000003,14.9,23.7
5,Cleveland Cavaliers,82,51,31,0.622,"3,976",54.7,0.275,13.7,21.9,51.6,0.226,12.7,24.2
5,LA Clippers,82,51,31,0.622,"3,951",53.7,0.312,13.1,21.5,50.6,0.27399999999999997,13.4,23.1
9,Washington Wizards,82,49,33,0.598,"3,971",52.8,0.254,14.1,24.1,52.4,0.284,15.3,24.5
10,Oklahoma City Thunder,82,47,35,0.573,"3,961",50.0,0.295,14.8,27.9,51.1,0.285,13.7,21.0
11,Memphis Grizzlies,82,43,39,0.524,"3,981",49.1,0.28,13.5,24.8,50.6,0.341,14.9,22.5
11,Atlanta Hawks,82,43,39,0.524,"3,976",50.4,0.295,15.7,23.6,50.7,0.23199999999999998,15.3,23.9
13,Indiana Pacers,82,42,40,0.512,"3,971",51.6,0.261,13.9,21.2,51.2,0.28600000000000003,15.1,24.5
13,Milwaukee Bucks,82,42,40,0.512,"3,956",52.7,0.27399999999999997,14.4,21.5,51.8,0.27899999999999997,15.1,24.6
15,Chicago Bulls,82,41,41,0.5,"3,956",48.7,0.259,13.8,27.0,50.7,0.21899999999999997,13.7,23.2
15,Portland Trail Blazers,82,41,41,0.,"3,986",52.0,0.275,13.7,23.0,50.8,0.307,12.8,23.2
15,Miami Heat,82,41,41,0.5,"3,956",51.2,0.251,13.7,24.2,49.6,0.281,13.9,23.6
18,Denver Nuggets,82,40,42,0.488,"3,951",53.0,0.276,14.7,27.3,53.2,0.248,11.9,21.3
19,Detroit Pistons,82,37,45,0.451,"3,961",49.2,0.218,12.1,24.1,51.6,0.253,13.1,18.8
20,Charlotte Hornets,82,36,46,0.439,"3,966",50.1,0.27899999999999997,11.7,19.9,52.3,0.21100000000000002,13.2,20.4
21,New Orleans Pelicans,82,34,48,0.415,"3,981",50.4,0.256,12.7,18.5,50.9,0.23199999999999998,13.8,23.2
22,Dallas Mavericks,82,33,49,0.402,"3,956",50.5,0.225,12.6,18.1,52.9,0.282,15.7,22.4
23,Sacramento Kings,82,32,50,0.39,"3,976",51.6,0.284,14.9,21.0,52.8,0.29100000000000004,14.3,23.7
24,Minnesota Timberwolves,82,31,51,0.37799999999999995,"3,961",51.1,0.287,14.4,27.2,53.5,0.275,14.6,24.1
24,New York Knicks,82,31,51,0.37799999999999995,"3,971",49.6,0.239,13.9,26.6,51.1,0.278,13.0,25.9
26,Orlando Magic,82,29,53,0.354,"3,961",48.9,0.24600000000000002,13.3,21.6,52.3,0.263,13.1,22.6
27,Philadelphia 76ers,82,28,54,0.341,"3,966",50.1,0.258,16.4,22.4,51.2,0.303,14.9,24.7
28,Los Angeles Lakers,82,26,56,0.317,"3,941",50.1,0.259,15.0,25.0,54.2,0.27899999999999997,14.4,24.2
29,Phoenix Suns,82,24,58,0.293,"3,966",49.3,0.297,14.9,26.0,52.5,0.33799999999999997,14.4,23.6
30,Brooklyn Nets,82,20,62,0.244,"3,951",50.7,0.289,15.9,19.6,51.3,0.275,12.8,23.9
