,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L
0,ATL,10/27/16,48,0.568,0.205,0.204,0.333,0.457,0.191,0.174,0.24,WAS,1,0,0,1
1,ATL,10/29/16,48,0.524,0.271,0.119,0.146,0.381,0.188,0.195,0.08900000000000001,PHI,0,2,3,1
2,ATL,10/31/16,48,0.487,0.595,0.136,0.34700000000000003,0.547,0.253,0.197,0.188,SAC,1,2,2,1
3,ATL,11/2/16,48,0.547,0.341,0.17,0.244,0.583,0.222,0.146,0.289,LAL,1,2,1,0
4,ATL,11/4/16,48,0.416,0.434,0.168,0.222,0.419,0.438,0.184,0.229,WAS,0,2,2,0
5,ATL,11/5/16,48,0.5760000000000001,0.282,0.195,0.295,0.506,0.153,0.248,0.279,HOU,1,1,3,1
6,ATL,11/8/16,48,0.574,0.29600000000000004,0.191,0.297,0.429,0.253,0.058,0.25,CLE,0,3,3,1
7,ATL,11/9/16,48,0.56,0.325,0.219,0.361,0.5,0.231,0.132,0.18600000000000005,CHI,1,1,2,1
8,ATL,11/12/16,48,0.574,0.147,0.157,0.341,0.5,0.241,0.188,0.213,PHI,1,3,1,1
9,ATL,11/15/16,48,0.5,0.238,0.203,0.162,0.444,0.157,0.227,0.37,MIA,0,3,1,1
10,ATL,11/16/16,48,0.556,0.431,0.162,0.086,0.439,0.184,0.142,0.294,MIL,1,1,4,1
11,ATL,11/18/16,48,0.506,0.202,0.16899999999999998,0.182,0.467,0.267,0.106,0.163,CHA,0,2,3,0
12,ATL,11/20/16,48,0.435,0.341,0.134,0.264,0.534,0.159,0.153,0.244,NYK,0,2,3,0
13,ATL,11/22/16,48,0.518,0.118,0.152,0.146,0.5870000000000001,0.14,0.113,0.128,NOP,1,2,3,0
14,ATL,11/23/16,48,0.453,0.259,0.221,0.362,0.446,0.16699999999999998,0.194,0.152,IND,0,1,2,1
15,ATL,11/25/16,48,0.361,0.145,0.145,0.115,0.5,0.225,0.16899999999999998,0.209,UTA,0,2,2,0
16,ATL,11/27/16,48,0.511,0.114,0.123,0.156,0.484,0.211,0.092,0.326,LAL,0,2,2,0
17,ATL,11/28/16,48,0.465,0.353,0.182,0.277,0.506,0.282,0.145,0.159,GSW,0,1,2,0
18,ATL,11/30/16,48,0.556,0.112,0.203,0.2,0.506,0.281,0.163,0.28300000000000003,PHX,0,2,3,0
19,ATL,12/2/16,48,0.398,0.227,0.07200000000000001,0.122,0.635,0.135,0.153,0.297,DET,1,2,2,0
20,ATL,12/3/16,48,0.438,0.159,0.19,0.265,0.647,0.12,0.15,0.324,TOR,0,1,1,0
21,ATL,12/5/16,48,0.487,0.416,0.17600000000000002,0.16699999999999998,0.525,0.35,0.184,0.21600000000000005,OKC,1,2,1,0
22,ATL,12/7/16,48,0.511,0.17,0.14800000000000002,0.359,0.494,0.25,0.174,0.195,MIA,1,2,1,1
23,ATL,12/9/16,48,0.5479999999999999,0.345,0.17,0.209,0.532,0.149,0.141,0.196,MIL,0,2,2,1
24,ATL,12/13/16,48,0.5670000000000001,0.236,0.15,0.361,0.672,0.23,0.09,0.135,ORL,1,4,3,0
25,ATL,12/16/16,48,0.599,0.3720000000000001,0.141,0.429,0.605,0.302,0.101,0.21600000000000005,TOR,0,3,2,1
